2026-08-06 16:43:23 | INFO | fastapi_app | DELETE /products/1 -> 200 (22.89 ms)
2026-08-06 16:43:23 | INFO | fastapi_app | GET /products/1 -> 404 (7.87 ms)
2026-08-06 16:43:24 | INFO | fastapi_app | POST /auth/register -> 201 (803.67 ms)
2026-08-06 16:43:25 | INFO | fastapi_app | POST /auth/login -> 200 (693.88 ms)
2026-08-06 16:43:26 | INFO | fastapi_app | POST /auth/register -> 201 (694.33 ms)
2026-08-06 16:43:26 | INFO | fastapi_app | POST /auth/login -> 200 (565.20 ms)
2026-08-06 16:43:26 | INFO | fastapi_app | POST /products -> 201 (20.75 ms)
2026-08-06 16:43:26 | INFO | fastapi_app | PUT /products/1 -> 403 (8.81 ms)
2026-08-06 16:43:30 | INFO | fastapi_app | Application Started
2026-08-06 16:43:42 | INFO | fastapi_app | Application Started
2026-08-06 16:43:59 | INFO | fastapi_app | Application Started
2026-08-06 16:44:04 | INFO | fastapi_app | Application Started
2026-08-06 16:45:08 | INFO | fastapi_app | Application Started
2026-08-06 16:45:27 | INFO | fastapi_app | Application Started
2026-08-06 16:45:36 | INFO | fastapi_app | Application Started
2026-08-06 16:45:36 | INFO | fastapi_app | GET / -> 200 (21.51 ms)
2026-08-06 16:45:36 | INFO | fastapi_app | POST /auth/register -> 422 (7.39 ms)
2026-08-06 16:45:36 | INFO | fastapi_app | POST /auth/login -> 422 (1.55 ms)
2026-08-06 16:45:36 | INFO | fastapi_app | GET /user/profile -> 401 (1.58 ms)
2026-08-06 16:45:36 | INFO | fastapi_app | GET /admin/users -> 401 (2.00 ms)
2026-08-06 16:45:36 | INFO | fastapi_app | GET /products -> 401 (1.73 ms)
2026-08-06 16:45:45 | INFO | fastapi_app | Application Started
2026-08-06 16:45:45 | INFO | fastapi_app | POST /auth/register -> 201 (298.81 ms)
2026-08-06 16:45:45 | INFO | fastapi_app | POST /auth/register -> 201 (258.12 ms)
2026-08-06 16:45:45 | INFO | fastapi_app | POST /auth/register -> 409 (3.54 ms)
2026-08-06 16:45:46 | INFO | fastapi_app | POST /auth/register -> 201 (247.74 ms)
2026-08-06 16:45:46 | INFO | fastapi_app | POST /auth/register -> 409 (5.89 ms)
2026-08-06 16:45:46 | INFO | fastapi_app | POST /auth/register -> 201 (307.91 ms)
2026-08-06 16:45:46 | INFO | fastapi_app | POST /auth/login -> 200 (441.49 ms)
2026-08-06 16:45:47 | INFO | fastapi_app | POST /auth/register -> 201 (489.94 ms)
2026-08-06 16:45:47 | INFO | fastapi_app | POST /auth/login -> 401 (562.30 ms)
2026-08-06 16:45:48 | INFO | fastapi_app | GET /user/profile -> 401 (10.55 ms)
2026-08-06 16:45:48 | INFO | fastapi_app | POST /auth/register -> 201 (642.14 ms)
2026-08-06 16:45:49 | INFO | fastapi_app | POST /auth/login -> 200 (457.46 ms)
2026-08-06 16:45:49 | INFO | fastapi_app | GET /user/profile -> 200 (3.71 ms)
2026-08-06 16:45:49 | INFO | fastapi_app | POST /auth/register -> 201 (343.62 ms)
2026-08-06 16:45:49 | INFO | fastapi_app | POST /auth/login -> 200 (428.29 ms)
2026-08-06 16:45:49 | INFO | fastapi_app | GET /user/dashboard -> 200 (6.79 ms)
2026-08-06 16:45:50 | INFO | fastapi_app | POST /auth/register -> 201 (490.97 ms)
2026-08-06 16:45:50 | INFO | fastapi_app | POST /auth/login -> 200 (488.60 ms)
2026-08-06 16:45:50 | INFO | fastapi_app | PUT /user/update -> 200 (18.51 ms)
2026-08-06 16:45:51 | INFO | fastapi_app | POST /auth/register -> 201 (600.90 ms)
2026-08-06 16:45:52 | INFO | fastapi_app | POST /auth/login -> 200 (508.36 ms)
2026-08-06 16:45:52 | INFO | fastapi_app | GET /admin/users -> 403 (17.33 ms)
2026-08-06 16:45:52 | INFO | fastapi_app | POST /auth/register -> 201 (524.49 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | POST /auth/login -> 200 (343.40 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | POST /products -> 201 (33.98 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | GET /products -> 200 (8.47 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | GET /products/1 -> 200 (10.45 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | PUT /products/1 -> 200 (20.78 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | DELETE /products/1 -> 200 (17.39 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | GET /products/1 -> 404 (5.22 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | POST /auth/register -> 201 (426.96 ms)
2026-08-06 16:45:53 | INFO | fastapi_app | POST /auth/login -> 200 (342.47 ms)
2026-08-06 16:45:54 | INFO | fastapi_app | POST /auth/register -> 201 (397.10 ms)
2026-08-06 16:45:54 | INFO | fastapi_app | POST /auth/login -> 200 (318.80 ms)
